id,datetime,title,hazard_codes,primary_country,collection
emdat-event-2024-0486-AFG,2024-07-15T00:00:00Z,Flash flood in Afghanistan,nat-hyd-flo-fla,AFG,emdat-events
emdat-event-2024-0482-CHN,2024-07-11T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2024-0481-IND,2024-07-09T00:00:00Z,Flood (General) in India,nat-hyd-flo-flo,IND,emdat-events
emdat-event-2024-0481-PAK,2024-07-01T00:00:00Z,Flood (General) in Pakistan,nat-hyd-flo-flo,PAK,emdat-events
emdat-event-2024-0434-MMR,2024-06-30T00:00:00Z,Flood (General) in Myanmar,nat-hyd-flo-flo,MMR,emdat-events
emdat-event-2024-0327-IDN,2024-06-04T00:00:00Z,Flood (General) in Indonesia,nat-hyd-flo-flo,IDN,emdat-events
emdat-event-2024-0428-NPL,2024-06-01T00:00:00Z,Flood (General) in Nepal,nat-hyd-flo-flo,NPL,emdat-events
emdat-event-2024-0399-BGD,2024-05-29T00:00:00Z,Flash flood in Bangladesh,nat-hyd-flo-fla,BGD,emdat-events
emdat-event-2024-0310-AFG,2024-05-18T00:00:00Z,Flash flood in Afghanistan,nat-hyd-flo-fla,AFG,emdat-events
emdat-event-2024-0357-IRN,2024-05-15T00:00:00Z,Flash flood in Iran (Islamic Republic of),nat-hyd-flo-fla,IRN,emdat-events
emdat-event-2024-0298-LKA,2024-05-15T00:00:00Z,Flood (General) in Sri Lanka,nat-hyd-flo-flo,LKA,emdat-events
emdat-event-2024-0289-IDN,2024-05-11T00:00:00Z,Flood (General) in Indonesia,nat-hyd-flo-flo,IDN,emdat-events
emdat-event-2024-0285-AFG,2024-05-10T00:00:00Z,Flood (General) in Afghanistan,nat-hyd-flo-flo,AFG,emdat-events
emdat-event-2024-0284-TJK,2024-05-05T00:00:00Z,Flash flood in Tajikistan,nat-hyd-flo-fla,TJK,emdat-events
emdat-event-2024-0399-IND,2024-05-01T00:00:00Z,Flash flood in India,nat-hyd-flo-fla,IND,emdat-events
emdat-event-2024-0234-CHN,2024-04-19T00:00:00Z,Flood (General) in China,nat-hyd-flo-flo,CHN,emdat-events
emdat-event-2024-0249-IDN,2024-04-16T00:00:00Z,Flood (General) in Indonesia,nat-hyd-flo-flo,IDN,emdat-events
emdat-event-2024-0233-IRN,2024-04-16T00:00:00Z,Flood (General) in Iran (Islamic Republic of),nat-hyd-flo-flo,IRN,emdat-events
emdat-event-2024-0204-IDN,2024-04-07T00:00:00Z,Flood (General) in Indonesia,nat-hyd-flo-flo,IDN,emdat-events
emdat-event-2024-0181-AFG,2024-03-21T00:00:00Z,Flash flood in Afghanistan,nat-hyd-flo-fla,AFG,emdat-events
emdat-event-2024-0120-PAK,2024-02-27T00:00:00Z,Flood (General) in Pakistan,nat-hyd-flo-flo,PAK,emdat-events
emdat-event-2024-0120-IRN,2024-02-27T00:00:00Z,Flood (General) in Iran (Islamic Republic of),nat-hyd-flo-flo,IRN,emdat-events
emdat-event-2024-0120-AFG,2024-02-27T00:00:00Z,Flood (General) in Afghanistan,nat-hyd-flo-flo,AFG,emdat-events
emdat-event-2024-0101-IDN,2024-02-15T00:00:00Z,Flood (General) in Indonesia,nat-hyd-flo-flo,IDN,emdat-events
glide-event-FL-2024-000197-IND,2024-10-20T00:00:00Z,,nat-hyd-flo-flo;FL,IND,glide-events
glide-event-FL-2024-000189-LKA,2024-10-05T00:00:00Z,,nat-hyd-flo-flo;FL,LKA,glide-events
glide-event-FL-2024-000177-NPL,2024-09-29T00:00:00Z,,nat-hyd-flo-flo;FL,NPL,glide-events
glide-event-FL-2024-000180-NPL,2024-09-26T00:00:00Z,,nat-hyd-flo-flo;FL,NPL,glide-events
glide-event-FL-2024-000166-PAK,2024-08-26T00:00:00Z,,nat-hyd-flo-flo;FL,PAK,glide-events
glide-event-FF-2024-000154-BGD,2024-08-21T00:00:00Z,,nat-hyd-flo-fla;FF,BGD,glide-events
glide-event-FL-2024-000146-NPL,2024-08-16T00:00:00Z,,nat-hyd-flo-flo;FL,NPL,glide-events
glide-event-FL-2024-000140-BTN,2024-08-10T00:00:00Z,,nat-hyd-flo-flo;FL,BTN,glide-events
glide-event-FL-2024-000132-NPL,2024-07-31T00:00:00Z,,nat-hyd-flo-flo;FL,NPL,glide-events
glide-event-FL-2024-000130-MMR,2024-07-25T00:00:00Z,,nat-hyd-flo-flo;FL,MMR,glide-events
glide-event-FL-2024-000108-NPL,2024-07-08T00:00:00Z,,nat-hyd-flo-flo;FL,NPL,glide-events
glide-event-FL-2024-000107-NPL,2024-07-06T00:00:00Z,,nat-hyd-flo-flo;FL,NPL,glide-events
glide-event-FL-2024-000109-IND,2024-07-03T00:00:00Z,,nat-hyd-flo-flo;FL,IND,glide-events
glide-event-FL-2024-000104-MMR,2024-07-01T00:00:00Z,,nat-hyd-flo-flo;FL,MMR,glide-events
glide-event-FL-2024-000103-NPL,2024-06-26T00:00:00Z,,nat-hyd-flo-flo;FL,NPL,glide-events
glide-event-FF-2024-000100-BGD,2024-06-25T00:00:00Z,,nat-hyd-flo-fla;FF,BGD,glide-events
glide-event-FL-2024-000118-PAK,2024-06-05T00:00:00Z,,nat-hyd-flo-flo;FL,PAK,glide-events
glide-event-FL-2024-000088-BGD,2024-06-03T00:00:00Z,,nat-hyd-flo-flo;FL,BGD,glide-events
glide-event-FL-2024-000068-AFG,2024-05-09T00:00:00Z,,nat-hyd-flo-flo;FL,AFG,glide-events
glide-event-FL-2024-000052-NPL,2024-04-23T00:00:00Z,,nat-hyd-flo-flo;FL,NPL,glide-events
glide-event-FF-2024-000049-AFG,2024-04-15T00:00:00Z,,nat-hyd-flo-fla;FF,AFG,glide-events
glide-event-FL-2024-000041-PAK,2024-03-31T00:00:00Z,,nat-hyd-flo-flo;FL,PAK,glide-events
glide-event-FL-2024-000038-AFG,2024-03-20T00:00:00Z,,nat-hyd-flo-flo;FL,AFG,glide-events
glide-event-FL-2024-000020-PAK,2024-03-06T00:00:00Z,,nat-hyd-flo-flo;FL,PAK,glide-events
